shipments,trackstart,trackend,volume
Company_D_5_6,12,15,0
Company_D_5_6,13,7,0
Company_D_5_6,13,14,0
Company_D_5_6,14,2,0
Company_D_5_6,14,3,0
Company_D_5_6,14,5,0
Company_D_5_6,14,13,0
Company_D_5_6,14,15,3
Company_D_5_6,15,6,3
Company_D_5_6,15,12,0
Company_D_5_6,15,14,0
Company_D_5_10,1,3,0
Company_D_5_10,1,4,0
Company_D_5_10,2,14,0
Company_D_5_10,3,1,0
Company_D_5_10,3,5,0
Company_D_5_10,3,7,0
Company_D_5_10,3,14,0
Company_D_5_10,4,1,0
Company_D_5_10,4,6,0
Company_D_5_10,4,8,1
Company_D_5_10,4,12,0
Company_D_5_10,5,3,0
Company_D_5_10,5,7,0
Company_D_5_10,5,14,2
Company_D_5_10,6,4,0
Company_D_5_10,6,7,0
Company_D_5_10,6,9,1
Company_D_5_10,6,15,0
Company_D_5_10,7,3,0
Company_D_5_10,7,5,0
Company_D_5_10,7,6,0
Company_D_5_10,7,13,0
Company_D_5_10,8,4,0
Company_D_5_10,8,9,1
Company_D_5_10,9,6,0
Company_D_5_10,9,8,0
Company_D_5_10,9,10,2
Company_D_5_10,10,9,0
Company_D_5_10,10,11,0
Company_D_5_10,11,10,0
Company_D_5_10,12,4,1
Company_D_5_10,12,15,0
Company_D_5_10,13,7,0
Company_D_5_10,13,14,0
Company_D_5_10,14,2,0
Company_D_5_10,14,3,0
Company_D_5_10,14,5,0
Company_D_5_10,14,13,0
Company_D_5_10,14,15,2
Company_D_5_10,15,6,1
Company_D_5_10,15,12,1
Company_D_5_10,15,14,0
Company_E_3_13,1,3,0
Company_E_3_13,1,4,0
Company_E_3_13,2,14,0
Company_E_3_13,3,1,0
Company_E_3_13,3,5,0
Company_E_3_13,3,7,4
Company_E_3_13,3,14,0
Company_E_3_13,4,1,0
Company_E_3_13,4,6,0
Company_E_3_13,4,8,0
Company_E_3_13,4,12,0
Company_E_3_13,5,3,0
Company_E_3_13,5,7,0
Company_E_3_13,5,14,0
Company_E_3_13,6,4,0
Company_E_3_13,6,7,0
Company_E_3_13,6,9,0
Company_E_3_13,6,15,0
Company_E_3_13,7,3,0
Company_E_3_13,7,5,0
Company_E_3_13,7,6,0
Company_E_3_13,7,13,4
Company_E_3_13,8,4,0
Company_E_3_13,8,9,0
Company_E_3_13,9,6,0
Company_E_3_13,9,8,0
Company_E_3_13,9,10,0
Company_E_3_13,10,9,0
Company_E_3_13,10,11,0
Company_E_3_13,11,10,0
Company_E_3_13,12,4,0
Company_E_3_13,12,15,0
Company_E_3_13,13,7,0
Company_E_3_13,13,14,0
Company_E_3_13,14,2,0
Company_E_3_13,14,3,0
Company_E_3_13,14,5,0
Company_E_3_13,14,13,0
Company_E_3_13,14,15,0
Company_E_3_13,15,6,0
Company_E_3_13,15,12,0
Company_E_3_13,15,14,0
Company_E_3_15,1,3,0
Company_E_3_15,1,4,0
Company_E_3_15,2,14,0
Company_E_3_15,3,1,0
Company_E_3_15,3,5,0
Company_E_3_15,3,7,0
Company_E_3_15,3,14,10
Company_E_3_15,4,1,0
Company_E_3_15,4,6,0
Company_E_3_15,4,8,0
Company_E_3_15,4,12,0
Company_E_3_15,5,3,0
Company_E_3_15,5,7,0
Company_E_3_15,5,14,0
Company_E_3_15,6,4,0
Company_E_3_15,6,7,0
Company_E_3_15,6,9,0
Company_E_3_15,6,15,0
Company_E_3_15,7,3,0
Company_E_3_15,7,5,0
Company_E_3_15,7,6,0
Company_E_3_15,7,13,0
Company_E_3_15,8,4,0
Company_E_3_15,8,9,0
Company_E_3_15,9,6,0
Company_E_3_15,9,8,0
Company_E_3_15,9,10,0
Company_E_3_15,10,9,0
Company_E_3_15,10,11,0
Company_E_3_15,11,10,0
Company_E_3_15,12,4,0
Company_E_3_15,12,15,0
Company_E_3_15,13,7,0
Company_E_3_15,13,14,0
Company_E_3_15,14,2,0
Company_E_3_15,14,3,0
Company_E_3_15,14,5,0
Company_E_3_15,14,13,0
Company_E_3_15,14,15,10
Company_E_3_15,15,6,0
Company_E_3_15,15,12,0
Company_E_3_15,15,14,0
