shipments,trackstart,trackend,day,volume
Company_A_4_7,14,4,12,0
Company_A_4_7,14,5,7,0
Company_A_4_7,14,5,14,0
Company_A_4_7,14,6,7,0
Company_A_4_7,14,6,9,0
Company_A_4_7,14,6,15,0
Company_A_4_7,14,7,13,0
Company_A_4_7,14,8,9,0
Company_A_4_7,14,9,10,0
Company_A_4_7,14,10,11,0
Company_A_4_7,14,12,15,0
Company_A_4_7,14,13,14,0
Company_A_4_7,14,14,15,0
Company_A_3_2,1,1,3,0
Company_A_3_2,1,1,4,0
Company_A_3_2,1,1,8,0
Company_A_3_2,1,2,5,0
Company_A_3_2,1,3,5,0
Company_A_3_2,1,3,7,0
Company_A_3_2,1,3,14,0
Company_A_3_2,1,4,6,0
Company_A_3_2,1,4,8,0
Company_A_3_2,1,4,12,0
Company_A_3_2,1,5,7,0
Company_A_3_2,1,5,14,0
Company_A_3_2,1,6,7,0
Company_A_3_2,1,6,9,0
Company_A_3_2,1,6,15,0
Company_A_3_2,1,7,13,0
Company_A_3_2,1,8,9,0
Company_A_3_2,1,9,10,0
Company_A_3_2,1,10,11,0
Company_A_3_2,1,12,15,0
Company_A_3_2,1,13,14,0
Company_A_3_2,1,14,15,0
Company_A_3_2,2,1,3,0
Company_A_3_2,2,1,4,0
Company_A_3_2,2,1,8,0
Company_A_3_2,2,2,5,0
Company_A_3_2,2,3,5,0
Company_A_3_2,2,3,7,0
Company_A_3_2,2,3,14,0
Company_A_3_2,2,4,6,0
Company_A_3_2,2,4,8,0
Company_A_3_2,2,4,12,0
Company_A_3_2,2,5,7,0
Company_A_3_2,2,5,14,0
Company_A_3_2,2,6,7,0
Company_A_3_2,2,6,9,0
Company_A_3_2,2,6,15,0
Company_A_3_2,2,7,13,0
Company_A_3_2,2,8,9,0
Company_A_3_2,2,9,10,0
Company_A_3_2,2,10,11,0
Company_A_3_2,2,12,15,0
Company_A_3_2,2,13,14,0
Company_A_3_2,2,14,15,0
Company_A_3_2,3,1,3,0
Company_A_3_2,3,1,4,0
Company_A_3_2,3,1,8,0
Company_A_3_2,3,2,5,0
Company_A_3_2,3,3,5,5
Company_A_3_2,3,3,7,0
Company_A_3_2,3,3,14,0
Company_A_3_2,3,4,6,0
Company_A_3_2,3,4,8,0
Company_A_3_2,3,4,12,0
Company_A_3_2,3,5,7,0
Company_A_3_2,3,5,14,0
Company_A_3_2,3,6,7,0
Company_A_3_2,3,6,9,0
Company_A_3_2,3,6,15,0
Company_A_3_2,3,7,13,0
Company_A_3_2,3,8,9,0
Company_A_3_2,3,9,10,0
Company_A_3_2,3,10,11,0
Company_A_3_2,3,12,15,0
Company_A_3_2,3,13,14,0
Company_A_3_2,3,14,15,0
Company_A_3_2,4,1,3,0
Company_A_3_2,4,1,4,0
Company_A_3_2,4,1,8,0
Company_A_3_2,4,2,5,0
Company_A_3_2,4,3,5,0
Company_A_3_2,4,3,7,0
Company_A_3_2,4,3,14,0
Company_A_3_2,4,4,6,0
Company_A_3_2,4,4,8,0
Company_A_3_2,4,4,12,0
Company_A_3_2,4,5,7,0
Company_A_3_2,4,5,14,0
Company_A_3_2,4,6,7,0
Company_A_3_2,4,6,9,0
Company_A_3_2,4,6,15,0
Company_A_3_2,4,7,13,0
Company_A_3_2,4,8,9,0
